Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Priority,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Blocker,Blocker Status,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Pull Request
5329573,"""invalid email"" trying to process gift sub; CC charge occurs but order does not finalize/attach",invalid-gift-recipient,,,,epic,,,,"Dec 31, 2024",,,,"Reported as:
I have an order mess up in the system. It said: ""Sorry an unexpected problem occurred with your order. Please try again. Message: Validation failed: email is invalid""
For Gail Ahlborn.

the email is the same in our system. Any thoughts on if this is an A1st issue or a stripe issue?
",https://www.pivotaltracker.com/epic/show/5329573,,,,,,"	screenshot attached: Kari tried the order 3 times, each time she got ""unexpected error: email is invalid"".

It is a gift order bought by Gail Ahlborn (cid 2146754459) for Megan Brown, for whom there are 2 records, one created 12/20 and the other 12/27, though the ordering problem here happened on 12/22 5:43pm-5:58pm.

- prior to kari having the issue, a customer Megan Brown (""megan #1"") was created on 12/20, as a side effect of someone who was not logged in but was trying to purchase a gift subscription for someone else.  this transaction was ultimately abandoned or failed (i'm working on ascertaining which).  

- to make it 'easy' to purchase gift subscriptions, A1 requires that the recipient either (a) uniquely exist already in the database, or (b) have either a phone number or contact email specified at the time the gift order is purchased, so there is some way to reach them.  in this case, a phone number was provided but no email.  this is bug #1: customers not created by an admin are required to have a valid email.  in this case, since the customer was created ""by the system"" as a side effect of being a gift recipient, they should have been marked as ""created by admin"" so that the valid-email requirement should not apply to them.  but the ""created by admin"" flag was incorrectly not set on the customer.

- two days later, kari tries to process a gift order with ""megan brown"" as the recipient.  she also enters the recipient info, and A1 correctly matches it up to Megan #1.   but megan #1 should not exist because the record as saved violates a validity constraint.  hence, when the order is placed, the ""unexpected error - email is invalid"".  note that this is a ""soft"" validity constraint - it is legal for a customer not to have an email as long as they were created by an admin, but as we saw, in this case that flag did not get set.

now, even with the invalid record issue, at first i was confused that this screwed up the transaction, because before the stripe call happens, there is a ""preflight check"" on the validity of all records that are about to be updated.  but critically, one step of that process - checking the validity of both the purchaser and (if applicable) the gift recipient - is bypassed if the order is being placed by an admin.  i think this is bug #2.  looking at the code, i can't quite figure out why these checks should be bypassed for admins, since the customer-creation validity checks already allow a customer without an email address (eg) to be created by an admin.

bug #1 is a straightforward fix that should be applied in any case.

for bug #2, i am inclined to remove the bypassing of the validity check that happens for admins.  i cannot think of a good reason why it's there, and if i do remove it, the worst that can happen is admins may now see an error that would otherwise have been masked (before any charge is attempted), and if the error is spurious, and we deal with it, it represents a temporary inconvenience to the admin but no loss to a patron.

note the tricky circumstances here:  if bug #1 did not exist (ie if Megan #1 had clearly  been marked as created-by-admin), bug #2 would not have been triggered because the preflight validity check knows to ""exempt"" admin-created customers from certain validations.   (Armando Fox - Dec 31, 2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858045,"General mechanism for ""seat holdback""",holdback,,,,epic,,,,"Nov 4, 2021",,,,,https://www.pivotaltracker.com/epic/show/4858045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952639,Boxoffice worker can import sales data from external vendors,extern,,,,epic,,,,"Apr 25, 2018",,,," goldstar; bpt if possible; todaytix, rushtix, onthelist (comps only).
Design doc: see [wiki](https://github.com/armandofox/audience1st/wiki/Importing-external-vendor-ticket-sales)",https://www.pivotaltracker.com/epic/show/3952639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4847148,3rd party import w/reserved seating,rs-import,,,,epic,,,,"Oct 12, 2021",,,,,https://www.pivotaltracker.com/epic/show/4847148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4810374,Seating Zones,zone,,,,epic,,,,"Jul 24, 2021",,,,"For RS performances, allow certain voucher types to be redeemable only for seats in certain ""seating zones"". Seatmap labels each seat as belonging to exactly one zone. Voucher types can also be ""unrestricted"", ie can be used for seats in any zone.",https://www.pivotaltracker.com/epic/show/4810374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565736,Cleanup NEEDED for Rails 5,cleanup,,,,epic,,,,"Dec 11, 2014",,,,,https://www.pivotaltracker.com/epic/show/1565736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858044,Monthly recurring donations support,recur,,,,epic,,,,"Nov 4, 2021",,,,,https://www.pivotaltracker.com/epic/show/4858044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4735649,"Automatic ""reminder email"" via Mailchimp API",reminder,,,,epic,,,,"Feb 28, 2021",,,,"* Options tab includes a new text field where staff can type text that will be included in patron reminder emails.

* The create new show and edit show pages have a new field with a prompt like ""Send reminder email to ticket holders"". This would be a dropdown list with values like ""Never"", ""12 hours before curtain"", ""24 hours before curtain"", ""36 hours before curtain"", and ""48 hours before curtain"". The default value when creating a new show (or for shows created before the feature was added) would be ""Never"". The help text for the field would mention that this applies to all in-theater and live-stream performances (but not stream anytime performances). 

The system would send out an HTML formatted email using the default HTML template set on the Options tab. All of the text would be fixed (generated by the system) and the extra text entered on the Options tab (if any) would be inserted into the message.

In the long run we might want to let staff create their own template in Mailchimp or otherwise have more control over the email content. But I don't think that is necessary for initial rollout.",https://www.pivotaltracker.com/epic/show/4735649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4713920,Detect and report email bounces (needs design; wait for someone to ask),detect and report email bounces (needs design; wait for someone to ask),,,,epic,,,,"Jan 19, 2021",,,,,https://www.pivotaltracker.com/epic/show/4713920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691764,Upgrade to Rails 5,rails5,,,,epic,,,,"Dec 2, 2020",,,,,https://www.pivotaltracker.com/epic/show/4691764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
